token,score
অকুস্থল,0.0715175035762871
অঙ্গাঙ্গিভাবে,0.06183603847267403
অনুশীলন,0.034263936378564244
অপরাধ,0.027052511253058284
অবস্থান,0.03956542578379098
অভিধান,0.05689679892421318
অভিনয়,0.14035084721633478
অভিনয়ের,0.058434845437327354
অভিনেতা,0.05390284969477444
অভিনেতার,0.040557762311489325
অভিনেতারাও,0.07046829191569981
অর্থ,0.018775108904297972
অর্থাৎ,0.02083879767152142
অসত্য,0.2256852864620928
অসত্যকে,0.14093658383139962
অসত্যের,0.0715175035762871
অসহায়,0.05298849989975273
অসৎ,0.04425077620605426
অ্যান্ড,0.021104074929093556
আক্রান্ত,0.0266780958727843
আত্মীয়কে,0.07272872954782328
আদার,0.04673555800059876
আপনাকে,0.024301003054721486
আপনাদের,0.05919972818565813
আপনারা,0.029112060059024288
আবুল,0.024965162342919033
আমরাই,0.042311093954499
আমেরিকার,0.032436496021251204
আরেকজনের,0.04640714058558818
আরেকটি,0.022608560460814827
আশাবাদী,0.033597415785944815
আসলে,0.042867872376165364
আসলেই,0.07214761055637776
আসেন,0.023786146860444078
ইচ্ছাকৃতভাবে,0.09629798633566024
ইচ্ছামতো,0.09786474497186044
ইচ্ছে,0.03405129960748514
উক্তি,0.04502064900480278
উক্তিটা,0.0695428216423721
উঠে,0.020706825880930792
উত্তরটা,0.04886926037394689
উদাহরণ,0.028686428460693088
উদ্দেশ্য,0.027726241615212446
উপস্থাপন,0.12096933275530404
উৎসব,0.031881977368210274
একজন,0.03891195620767602
একটা,0.025325107684439994
একাই,0.0364917841020923
এখানকার,0.035089620877281194
এসেছে,0.017667098478256846
ওপর,0.02305617255377041
ওপরই,0.03616062843450198
কঠিন,0.01975793095706734
কথা,0.027658429404299873
কথাটা,0.06966535951848789
কথায়,0.046640315432070485
কদিন,0.037328322905784896
কবর,0.04468142730387119
করছি,0.08362607627903755
করছিলেন,0.029730824052666204
করানো,0.03578320516805225
কাজ,0.009805850761052138
কাঠগড়ায়,0.062170447055110226
কারণে,0.010807953722907873
কিছুদিন,0.024998233588479777
কৃষক,0.07002761574053798
কোথাও,0.052436001006283865
কোথায়,0.042560556675027894
ক্যানসারে,0.0491900157545151
ক্ষমতার,0.028519598081130023
খারাপ,0.021726429600717898
খালি,0.0319400731278661
খুঁজে,0.0231848755595872
খেতে,0.026460995887655395
খেলতে,0.02402470557697258
খোঁজে,0.041532495540530595
গল্প,0.07581316800082208
গল্পটা,0.041783552542428055
গাড়িটি,0.05782226919754088
গাড়ির,0.045917284692750845
গিয়ে,0.03463506391876732
গীতা,0.05490273987641368
গেছেন,0.042833456135967195
গেলেন,0.028356236361158187
গ্রামের,0.024043359786136607
গ্রিক,0.04906013815788624
ঘটবে,0.03332324065828954
ঘটেনি,0.03538909286658038
চরম,0.028425833057958486
চলাফেরা,0.04217585110283202
চার,0.03260592888814142
চালু,0.02305205764346213
চুটকি,0.06502194637812518
চেয়েও,0.04886926037394689
চেষ্টা,0.014331714783950237
ছেড়ে,0.034422277569525074
ছোট,0.039133933146943134
জড়িত,0.07135388495942158
জন্মগতভাবে,0.0593338151266881
